,rooms,bedrooms,population,households,value,inland
850,1727,302,1116,273,243600,0
851,6243,1273,3163,1274,212500,0
852,2077,383,1488,389,214700,0
853,1165,333,855,319,213200,0
854,4371,889,2530,817,256000,0
855,838,295,240,149,237500,0
856,3052,760,2097,728,178100,0
857,4313,717,2629,721,231800,1
858,385,94,295,92,147900,0
859,3046,678,2056,628,191700,0
860,4342,783,2172,789,247600,0
861,3575,597,1777,559,283500,0
862,4126,1031,2079,975,216900,0
863,2878,478,1276,485,282500,0
864,4405,717,2071,688,295600,0
865,16199,2993,8117,2847,281800,0
866,14917,2708,8012,2606,269800,0
867,5719,1064,3436,1057,231200,0
868,8647,1407,5019,1379,318300,0
869,8112,1376,4576,1348,253400,0
870,10648,1818,6075,1797,278200,0
871,1150,311,648,245,300000,0
872,14014,2861,7205,2753,273500,1
873,4332,857,2461,829,223400,0
874,1716,312,914,316,214500,0
875,4981,964,2841,924,220200,1
876,8444,1492,4446,1491,240300,1
877,3028,778,1531,736,158000,1
878,2068,532,1434,495,224200,0
879,1325,274,909,267,177200,1
880,2563,485,1174,501,216100,0
881,5505,1005,2641,971,269700,0
882,6462,1294,3288,1235,231200,0
883,3746,993,1606,838,162500,0
884,8918,1823,4518,1772,254000,0
885,1949,344,986,322,196200,0
886,4924,1247,3080,1182,189400,0
887,5133,1375,3386,1339,220800,0
888,6647,2098,4649,1903,213800,0
889,5674,748,2412,714,442900,0
890,10687,1540,4552,1520,333400,0
891,1354,192,596,220,352400,0
892,3715,526,1631,538,305300,0
893,2095,342,941,304,259600,0
894,3517,645,1724,585,248900,0
895,2537,382,1067,410,356000,0
896,5106,1207,2738,1108,236000,0
897,2215,475,1278,492,218800,0
898,2949,529,1538,545,228000,0
899,2375,652,1252,586,235900,1
900,2312,496,1344,467,203200,1
901,2277,420,1353,413,197000,1
902,2506,387,1273,406,236400,1
903,2829,566,1610,540,223200,1
904,3179,703,2142,639,222700,1
905,2332,371,1285,404,225000,1
906,3584,715,1673,661,240100,1
907,3046,507,1772,516,227900,0
908,2414,415,1106,453,268600,0
909,4133,744,2023,749,275100,0
910,2791,495,1276,468,256300,0
911,6103,1249,3026,1134,332400,1
912,2572,406,1128,395,287600,1
913,1910,371,852,357,298900,1
914,1890,303,889,314,287600,1
915,5405,939,2831,923,222200,0
916,3761,623,1776,613,232600,1
917,3333,511,1671,504,258300,0
918,4925,948,2530,894,230900,0
919,3994,764,2721,763,196900,0
920,5811,1125,3215,1086,223500,0
921,4211,741,2352,734,223900,0
922,5532,973,2855,960,243500,0
923,28258,3864,12203,3701,451100,0
924,4909,577,1981,591,500001,0
925,7441,1588,3571,1466,193100,0
926,4314,676,1972,623,264400,0
927,2016,322,1105,357,246900,0
928,5377,744,2759,760,337300,0
929,9167,1373,4319,1404,284800,0
930,3087,532,1597,483,217300,0
931,3170,532,1446,515,291700,0
932,2145,369,1285,377,223800,0
933,4209,731,2568,703,223100,0
934,4247,835,2357,823,211300,0
935,4458,922,2998,890,218500,1
936,407,97,307,100,156300,1
937,6483,1068,3526,1060,248200,1
938,1867,343,1213,338,186000,1
939,2918,672,1911,639,178200,1
940,2316,478,1524,467,190400,1
941,1240,264,719,236,210300,1
942,4458,856,3038,870,208000,1
943,1746,437,1268,404,183300,1
945,4572,712,2346,709,245700,1
946,4280,673,2216,681,242200,1
947,6352,1390,3223,1316,181700,1
948,7477,1576,2937,1506,299400,1
949,4638,716,2302,687,219500,1
950,4377,668,2038,671,231800,1
951,3816,637,1935,642,221300,1
952,2806,459,1453,444,213800,1
953,4822,845,2288,805,206000,1
954,6473,1027,2484,970,271100,1
955,8072,1050,3386,1062,336500,1
956,1280,209,512,208,315600,1
957,3166,424,1081,400,500001,1
958,3742,555,1590,559,285400,0
959,7397,1137,3126,1115,323000,0
960,1655,223,706,219,291900,0
961,2456,582,793,456,225600,0
962,2179,308,926,299,259600,1
963,1804,254,831,260,262900,1
964,3631,547,1700,520,257300,1
965,2876,423,1395,427,259200,0
966,7490,1207,3329,1136,339700,1
967,2234,270,854,286,337200,1
968,1898,239,734,245,334100,1
969,4070,624,1543,577,311500,1
970,2244,301,937,324,296900,0
971,2948,471,1181,474,247900,0
972,2034,288,852,295,300400,1
973,2130,273,876,285,332400,1
974,9540,1294,3926,1229,389800,1
975,2702,680,1360,642,233000,1
976,522,116,161,102,238500,1
977,775,134,315,123,233300,0
978,1565,464,769,461,231300,1
979,1309,184,514,172,475800,1
980,5519,833,2444,825,393200,1
981,4337,800,1813,743,247200,1
982,1812,294,853,278,229400,1
983,4719,741,1895,742,282500,1
984,404,74,144,58,125000,1
985,4236,701,1833,663,300600,1
986,3634,664,1699,640,293200,1
987,1569,242,583,214,278500,1
988,13182,2074,4847,1950,352900,1
989,228,40,83,42,400000,1
990,127,23,51,21,375000,1
991,9621,1344,4389,1391,313700,1
992,6159,1510,2649,1241,139300,1
993,4290,554,1952,576,327500,1
994,1786,306,771,279,430600,1
996,1671,352,729,252,450000,1
997,5608,1049,2595,1067,200200,0
998,12070,2220,5826,2125,192400,1
999,494,81,254,85,418800,1
1000,5533,943,2474,910,216800,1
1001,3956,639,2222,662,215500,1
